Project,PlantName,Region,State_Country,City,Operating Company,USD_Million,Status,Cap,Est Yr Comp,Engineering,Licensing,Constructor,Year of data
Refinery,Saudi Arabia Upgrader Refinery,Middle East,Saudi Arabia,TBD,Bejing Petrochemical Engineering -  Yanchang Petroleum Ltd,5000,P,"600,000 bpd",2029,"Beijing Petrochemical Engineering, Beijing Petrochemical Engineering",Genoil,,2024
"renewable diesel, SAF",Pengerang complex,Asia/Pacific,Malaysia,Pengerang,Eni - Euglena - Petronas,0,U,191 MMgpy,2028,,UOP LLC,,2024
Renewable Diesel,Neste Biofuels,Europe,Netherlands,Rotterdam,Neste,2000,U,1.3 MMtpy,2026,"Technip Energies , Technip Energies",Neste,,2024
Refinery,Lekki Free Trade Zone,Africa,Nigeria,Lekki peninsula,Nigerian National Petroleum Corporation,8000,H,"10,000 bpd",,,,China State Construction Engineering Corporation,2024
Gas Processing Plant,KMG Gas Plant,Europe,Kazakhstan,Zhanaozen,KazMunaiGas,283,J,300 MMcf/d,2026,,,,2024
Propylene,Haldia Petrochemicals Kakinada Propylene plant,Asia/Pacific,India,Andhra Pradesh,Haldia Petrochemicals Ltd,0,P,1.6 MMtpy,2026,,Lummus Technology,,2024
biopolymer,Global Biopolymers Plant,Middle East,United Arab Emirates,TBD,Global Biopolymers Co. Ltd,0,J,,,Thysenkrupp,,,2024
"renewable diesel, SAF",Lloydminster biorefinery,Canada,Alberta,Lloydminster,Covenant Energy,700,J,138 MMgpy,2026,,,,2024
Refinery,Gwadar Petroleum Storage and Transportation Trading Centre,Asia/Pacific,Pakistan,Gwadar,East Sea Group Limited,4500,J,"185,000 bpd",,,,,2024
Renewable Diesel,Kern Renewable Diesel Complex,United States,California,Bakersfield,Kern Energy,0,P,150 MMgpy,2024,,,,2024
"renewable diesel, SAF",Bon Wier biorefinery,United States,Texas,Bon Wier,USA BioEnergy,1700,J,34 MMgpy,2025,,,,2024
"Diesel, ULSD",Nasiriyah Refinery,Middle East,Iraq,Nasiriyah,Iraq's SCOP,2000,H,"105,000 bpd",,"Wood Group, Axens",Axens,,2024
Propylene,Shahid Soleymani Petro-Refinery (SSPRC),Middle East,Iran,Hormozgan,Petro Tejarat Shahin Co.,0,P,5573 bpd,2028,,,,2024
Refinery,Pacific Future Energy Refinery,Canada,British Columbia,Dubose Flats,Pacific Energy Future Corp.,14000,J,"200,000 bpd",2028,,,,2024
Refinery,Al-Samawah Refinery,Middle East,Iraq,,Iraq Ministry of Oil,0,J,"70,000 bpd",,,,,2024
